Time	Ch0	Gen
0.0002884	-0.6725267	0.5174545
0.0002888	-0.6725267	0.5174545
0.0002892	-0.6725267	0.5174545
0.0002896	-0.7144903	0.5174545
0.00029	-0.7144903	0.5174545
0.0002904	-0.7564538	0.474328
0.0002908	-0.7564538	0.5174545
0.0002912	-0.7564538	0.474328
0.0002916	-0.7564538	0.474328
0.000292	-0.7564538	0.474328
0.0002924	-0.7984174	0.474328
0.0002928	-0.7984174	0.474328
0.0002932	-0.7984174	0.4312014
0.0002936	-0.7984174	0.4312014
0.000294	-0.8403809	0.4312014
0.0002944	-0.7984174	0.4312014
0.0002948	-0.8403809	0.4312014
0.0002952	-0.8403809	0.4312014
0.0002956	-0.8403809	0.4312014
0.000296	-0.8403809	0.3880749
0.0002964	-0.8403809	0.3880749
0.0002968	-0.8823445	0.3880749
0.0002972	-0.8403809	0.3880749
0.0002976	-0.8823445	0.3449484
0.000298	-0.8823445	0.3449484
0.0002984	-0.8823445	0.3449484
0.0002988	-0.8823445	0.3449484
0.0002992	-0.924308	0.3449484
0.0002996	-0.924308	0.3449484
0.0003	-0.924308	0.3449484
0.0003004	-0.924308	0.3018219
0.0003008	-0.924308	0.3018219
0.0003012	-0.9662716	0.3018219
0.0003016	-0.9662716	0.3018219
0.000302	-0.9662716	0.3018219
0.0003024	-0.9662716	0.3018219
0.0003028	-1.008235	0.2586953
0.0003032	-1.008235	0.3018219
0.0003036	-1.008235	0.2586953
0.000304	-1.008235	0.2586953
0.0003044	-1.008235	0.2586953
0.0003048	-1.008235	0.2586953
0.0003052	-1.008235	0.2586953
0.0003056	-1.050199	0.2586953
0.000306	-1.050199	0.2586953
0.0003064	-1.050199	0.2155688
0.0003068	-1.092162	0.2155688
0.0003072	-1.092162	0.2155688
0.0003076	-1.092162	0.2155688
0.000308	-1.092162	0.1724423
0.0003084	-1.092162	0.1724423
0.0003088	-1.092162	0.1724423
0.0003092	-1.092162	0.1724423
0.0003096	-1.134126	0.1724423
0.00031	-1.134126	0.1724423
0.0003104	-1.134126	0.1724423
0.0003108	-1.134126	0.1293158
0.0003112	-1.134126	0.1293158
0.0003116	-1.134126	0.1293158
0.000312	-1.134126	0.1293158
